Symbol,Description,Quantity,Last Price,Current Value,Average Cost Basis
20263R506,JPM US ACT CR EQ CFF,256.593,107.96,27701.77,93.45
92202M724,VG IS EXT MKT IDX B,8.896,134.87,1199.80,129.17
92202M765,VG INST 500 IDX TR B,229.06,140.64,32215.01,135.57
AAPL,APPLE INC,62.933,255.41,16073.70,91.09
ABTC,AMERICAN BITCOIN CORP,679.216,1.51,1025.62,3.07
ACN,ACCENTURE PLC,9.7,280.71,2722.88,269.92
ADBE,ADOBE INC,2.46,304.72,749.61,371.92
AMD,ADVANCED MICRO DEVICES,25,251.31,6282.75,239.87
AMZN,AMAZON.COM INC,2.849,238.42,679.25,209.71
AVGO,BROADCOM INC,151.342,324.85,49163.43,268.71
BA,BOEING CO,435,248.43,108067.05,226.32
BLK,BLACKROCK INC,15.072,1121.54,16903.85,1158.87
BTCI,NEOS BITCOIN HIGH INCOME ETF,2400.552,43.25,103823.87,52.35
CAT,CATERPILLAR INC,0.248,635.92,157.70,518.02
CMG,CHIPOTLE MEXICAN GRILL,5,39.72,198.60,44.06
COST,COSTCO WHOLESALE,0.736,977.67,719.56,933.90
CRWD,CROWDSTRIKE HOLDINGS,53.321,468.33,24971.82,418.14
CSCO,CISCO SYSTEMS,582.577,77.01,44864.25,66.82
CVX,CHEVRON CORP,0.151,167.50,25.29,150.53
DE,DEERE & CO,0.165,516.54,85.22,480.85
DRS,LEONARDO DRS INC,201.908,40.63,8203.52,19.87
FBTC,FIDELITY BITCOIN FUND,150,76.26,11439.00,104.00
FETH,FIDELITY ETHEREUM FUND,500,28.91,14455.00,35.62
FSLR,FIRST SOLAR INC,0.284,242.97,69.00,209.68
GD,GENERAL DYNAMICS,0.05,363.54,18.17,295.00
GOOGL,ALPHABET INC,95.278,333.26,31752.34,279.26
GS,GOLDMAN SACHS,92.697,931.86,86380.62,740.95
HD,HOME DEPOT INC,0.041,386.53,15.84,370.98
HOOD,ROBINHOOD MARKETS,150,107.00,16050.00,61.67
IBIT,ISHARES BITCOIN TRUST,700,49.65,34755.00,66.06
IREN,IREN LIMITED,18.6,52.36,973.89,22.66
ISRG,INTUITIVE SURGICAL,0.44,528.81,232.67,493.45
ITW,ILLINOIS TOOL WORKS,0.06,259.15,15.54,257.83
JPM,JPMORGAN CHASE,171.43,301.04,51607.28,288.75
LHX,L3HARRIS TECHNOLOGIES,0.06,354.20,21.25,256.33
LMT,LOCKHEED MARTIN,0.203,581.66,118.07,460.34
LULU,LULULEMON ATHLETICA,1.57,192.79,302.68,206.38
META,META PLATFORMS,4.288,672.36,2883.07,644.84
MRVL,MARVELL TECHNOLOGY,5,81.77,408.85,91.00
MS,MORGAN STANLEY,216.282,181.88,39337.37,139.83
MSFT,MICROSOFT CORP,26.558,470.28,12489.68,357.27
MSTR,MICROSTRATEGY,1.943,160.58,312.00,351.43
MU,MICRON TECHNOLOGY,100.089,389.09,38943.62,121.89
NEE,NEXTERA ENERGY,0.206,85.47,17.60,73.98
NOC,NORTHROP GRUMMAN,0.171,660.97,113.02,585.85
NUE,NUCOR CORP,0.12,177.66,21.31,136.50
NVDA,NVIDIA CORPORATION,772.605,186.47,144067.63,168.95
ORCL,ORACLE CORP,100.672,182.44,18366.59,236.53
PANW,PALO ALTO NETWORKS,187.498,184.22,34540.88,182.38
PLTR,PALANTIR TECHNOLOGIES,105.456,167.47,17660.71,133.48
PWR,QUANTA SERVICES,20.049,470.77,9438.46,204.88
QQQ,INVESCO QQQ TRUST,0.5,625.46,312.73,311.38
RTX,RTX CORPORATION,0.1,194.13,19.41,146.30
SBUX,STARBUCKS CORP,0.16,96.33,15.41,94.19
SCHW,CHARLES SCHWAB,100.904,102.94,10387.05,86.93
SLB,SLB LIMITED,0.433,49.70,21.52,35.36
SOFI,SOFI TECHNOLOGIES,700,25.80,18060.00,11.28
SOXX,ISHARES SEMICONDUCTOR,3.871,343.07,1328.01,197.31
TJX,TJX COMPANIES,0.12,150.08,18.00,125.92
TSLA,TESLA INC,55.933,435.20,24342.03,327.58
TXT,TEXTRON,24.16,94.64,2286.50,87.81
XLK,SPDR TECHNOLOGY SELECT,1.807,146.08,263.96,82.62
XOM,EXXON MOBIL,0.151,134.84,20.36,111.46
XXI,TWENTY ONE CAPITAL,51.945,8.15,423.35,9.70
ZS,ZSCALER INC,25,214.55,5363.75,225.56
CASH,MONEY MARKET FUNDS,1,1.00,103518.40,1.00
